sku,barcode,name,category,unit_of_measure,cost_price,sell_price,reorder_point,safety_stock,is_perishable,preferred_supplier_id,location_code,bin_code,quantity_on_hand
HW-GRIND-M-047,891100200047,Angle Grinder 900 W 115 mm,Power Tools,piece,2935.95,4301.17,45,17,false,,INDIRANAGAR,A-840-LKO,25
HW-GRIND-L-048,891100200048,Angle Grinder 1400 W 125 mm kit,Power Tools,kit,6012.50,7335.25,4,2,false,,INDIRANAGAR,A-840-LKO,32
HW-CSAW-S-049,891100200049,Circular Saw 1200 W 165 mm,Power Tools,piece,2410.20,3024.80,11,5,false,,INDIRANAGAR,A-840-LKO,39
HW-CSAW-M-050,891100200050,Circular Saw 1500 W 185 mm,Power Tools,piece,4754.10,6132.79,18,8,false,,INDIRANAGAR,A-840-LKO,46
HW-CSAW-L-051,891100200051,Circular Saw 1800 W 235 mm,Power Tools,piece,11513.13,15254.89,25,11,false,,INDIRANAGAR,A-840-LKO,14
HW-JSAW-S-052,891100200052,Jigsaw 400 W,Power Tools,piece,1774.08,2412.75,32,0,false,,INDIRANAGAR,A-840-LKO,21
HW-JSAW-M-053,891100200053,Jigsaw 650 W variable speed,Power Tools,piece,3491.40,4870.50,39,17,false,,INDIRANAGAR,A-840-LKO,28
HW-JSAW-L-054,891100200054,Jigsaw 750 W orbital kit,Power Tools,kit,7150.00,10224.50,46,2,false,,INDIRANAGAR,A-840-LKO,35
HW-SAND-S-055,891100200055,Orbital Sander 180 W,Power Tools,piece,1409.04,2064.24,0,5,false,,INDIRANAGAR,A-840-LKO,42
HW-SAND-M-056,891100200056,Orbital Sander 300 W variable speed,Power Tools,piece,2779.32,3390.77,12,8,false,,INDIRANAGAR,A-840-LKO,10
HW-SAND-L-057,,Orbital Sander 450 W dust extraction kit,Power Tools,kit,6730.75,8447.09,19,11,false,,INDIRANAGAR,A-840-LKO,17
HW-WIRE-S-058,891100200058,Copper Electrical Wire 1.0 sq mm - 10 m,Electrical,roll,419.33,540.93,26,14,false,,INDIRANAGAR,A-840-LKO,24
HW-WIRE-M-059,891100200059,Copper Electrical Wire 1.5 sq mm - 90 m,Electrical,coil,825.24,1093.44,33,17,false,,INDIRANAGAR,A-840-LKO,31
HW-WIRE-L-060,891100200060,Copper Electrical Wire 2.5 sq mm - 90 m,Electrical,coil,1690.00,2298.40,40,2,false,,INDIRANAGAR,A-840-LKO,38
HW-SWIT-S-061,891100200061,Modular Switch 6 A 1-way,Electrical,piece,55.62,77.59,47,5,false,,INDIRANAGAR,A-840-LKO,45
HW-SWIT-M-062,891100200062,Modular Switch 16 A 1-way,Electrical,piece,109.71,156.89,6,8,false,,INDIRANAGAR,A-840-LKO,13
HW-SWIT-L-063,891100200063,Modular Switch 20 A double-pole,Electrical,piece,265.69,389.23,13,11,false,,INDIRANAGAR,A-840-LKO,20
HW-SOCK-S-064,891100200064,Electrical Socket 6 A 2-pin,Electrical,piece,76.61,93.46,20,14,false,,INDIRANAGAR,A-840-LKO,27
HW-SOCK-M-065,891100200065,Electrical Socket 6/16 A universal,Electrical,piece,150.76,189.21,27,0,false,,INDIRANAGAR,A-840-LKO,34
HW-SOCK-L-066,891100200066,Electrical Socket 32 A industrial,Electrical,piece,308.75,398.29,0,2,false,,INDIRANAGAR,A-840-LKO,41
HW-MCB-S-067,891100200067,Miniature Circuit Breaker 6 A single-pole,Electrical,piece,137.20,181.78,41,5,false,,INDIRANAGAR,A-840-LKO,9
HW-MCB-M-068,891100200068,Miniature Circuit Breaker 20 A single-pole,Electrical,piece,270.62,368.04,48,8,false,,INDIRANAGAR,A-840-LKO,16
HW-MCB-L-069,891100200069,Miniature Circuit Breaker 32 A double-pole,Electrical,piece,655.36,914.23,7,11,false,,INDIRANAGAR,A-840-LKO,0
HW-EXT-S-070,891100200070,Extension Board 3 socket 2 m,Electrical,piece,278.21,397.84,14,14,false,,INDIRANAGAR,A-840-LKO,30
HW-EXT-M-071,891100200071,Extension Board 4 socket 5 m,Electrical,piece,547.51,802.11,21,17,false,,INDIRANAGAR,A-840-LKO,37
HW-EXT-L-072,891100200072,Extension Board 6 socket 10 m surge protected,Electrical,piece,1121.25,1367.93,28,2,false,,INDIRANAGAR,A-840-LKO,44
HW-CTIE-S-073,891100200073,Nylon Cable Ties 100 mm - 100 pack,Electrical,pack,43.01,53.98,35,5,false,,INDIRANAGAR,A-840-LKO,12
HW-CTIE-M-074,891100200074,Nylon Cable Ties 200 mm - 100 pack,Electrical,pack,84.84,109.45,42,8,false,,INDIRANAGAR,A-840-LKO,19
HW-CTIE-L-075,891100200075,Nylon Cable Ties 300 mm - 200 pack,Electrical,box,205.47,272.24,49,11,false,,INDIRANAGAR,A-840-LKO,26
HW-ITAPE-S-076,,PVC Insulation Tape 10 m black,Electrical,roll,19.35,26.32,8,14,false,,INDIRANAGAR,A-840-LKO,33
HW-ITAPE-M-077,891100200077,PVC Insulation Tape 20 m assorted 5-pack,Electrical,pack,38.09,53.13,0,17,false,,INDIRANAGAR,A-840-LKO,40
HW-ITAPE-L-078,891100200078,PVC Insulation Tape 20 m assorted 20-pack,Electrical,box,78.00,111.54,22,0,false,,INDIRANAGAR,A-840-LKO,8
HW-PVC-S-079,891100200079,PVC Pipe 20 mm x 3 m,Plumbing,length,122.36,179.26,29,5,false,,INDIRANAGAR,A-840-LKO,15
HW-PVC-M-080,891100200080,PVC Pipe 32 mm x 3 m,Plumbing,length,241.36,294.46,36,8,false,,INDIRANAGAR,A-840-LKO,22
HW-PVC-L-081,891100200081,PVC Pipe 50 mm x 6 m,Plumbing,length,584.51,733.56,43,11,false,,INDIRANAGAR,A-840-LKO,29
HW-ELB-S-082,891100200082,PVC Elbow 20 mm - 10 pack,Plumbing,pack,56.45,72.82,50,14,false,,INDIRANAGAR,A-840-LKO,36
HW-ELB-M-083,891100200083,PVC Elbow 32 mm - 10 pack,Plumbing,pack,111.09,147.19,9,17,false,,INDIRANAGAR,A-840-LKO,43
HW-ELB-L-084,891100200084,PVC Elbow 50 mm - 20 pack,Plumbing,box,227.50,309.40,16,2,false,,INDIRANAGAR,A-840-LKO,11
HW-VALVE-S-085,891100200085,Brass Ball Valve 15 mm,Plumbing,piece,211.36,294.84,23,5,false,,INDIRANAGAR,A-840-LKO,18
HW-VALVE-M-086,891100200086,Brass Ball Valve 25 mm,Plumbing,piece,416.90,596.16,30,8,false,,INDIRANAGAR,A-840-LKO,25
HW-VALVE-L-087,891100200087,Brass Ball Valve 40 mm,Plumbing,piece,1009.61,1479.08,37,11,false,,INDIRANAGAR,A-840-LKO,32
HW-TAP-S-088,891100200088,Bib Tap PVC 15 mm,Plumbing,piece,157.25,191.84,0,14,false,,INDIRANAGAR,A-840-LKO,39
HW-TAP-M-089,891100200089,Bib Tap brass 15 mm,Plumbing,piece,309.46,388.38,51,17,false,,INDIRANAGAR,A-840-LKO,46
HW-TAP-L-090,891100200090,Bib Tap chrome-plated 20 mm,Plumbing,piece,633.75,817.54,10,2,false,,INDIRANAGAR,A-840-LKO,14
HW-PTFE-S-091,891100200091,PTFE Thread Seal Tape 12 mm x 10 m,Plumbing,roll,16.32,21.62,17,0,false,,INDIRANAGAR,A-840-LKO,21
HW-PTFE-M-092,891100200092,PTFE Thread Seal Tape 19 mm x 15 m - 5 pack,Plumbing,pack,32.18,43.77,24,8,false,,INDIRANAGAR,A-840-LKO,0
HW-PTFE-L-093,891100200093,PTFE Thread Seal Tape 25 mm x 15 m - 20 pack,Plumbing,box,77.94,108.72,31,11,false,,INDIRANAGAR,A-840-LKO,35
HW-HCLP-S-094,891100200094,Stainless Hose Clamps 12-20 mm - 10 pack,Plumbing,pack,68.54,98.02,38,14,false,,INDIRANAGAR,A-840-LKO,42
HW-HCLP-M-095,,Stainless Hose Clamps 20-32 mm - 20 pack,Plumbing,box,134.89,197.62,45,17,false,,INDIRANAGAR,A-840-LKO,10
HW-HCLP-L-096,891100200096,Stainless Hose Clamps 32-50 mm - 50 pack,Plumbing,box,276.25,337.03,4,2,false,,INDIRANAGAR,A-840-LKO,17
HW-PAINT-S-097,891100200097,Interior Emulsion Paint 1 L white,Paint & Adhesives,can,237.31,297.83,11,5,false,,INDIRANAGAR,A-840-LKO,24
HW-PAINT-M-098,891100200098,Interior Emulsion Paint 4 L white,Paint & Adhesives,can,468.10,603.84,18,8,false,,INDIRANAGAR,A-840-LKO,31
HW-PAINT-L-099,891100200099,Interior Emulsion Paint 20 L white,Paint & Adhesives,bucket,1133.60,1502.02,0,11,false,,INDIRANAGAR,A-840-LKO,38
HW-PRIME-S-100,891100200100,Wall Primer 1 L,Paint & Adhesives,can,201.60,274.18,32,14,false,,INDIRANAGAR,A-840-LKO,45
HW-PRIME-M-101,891100200101,Wall Primer 4 L,Paint & Adhesives,can,396.75,553.47,39,17,false,,INDIRANAGAR,A-840-LKO,13
HW-PRIME-L-102,891100200102,Wall Primer 20 L,Paint & Adhesives,bucket,812.50,1161.88,46,2,false,,INDIRANAGAR,A-840-LKO,20
HW-BRUSH-S-103,891100200103,Paint Brush 25 mm,Paint & Adhesives,piece,43.01,63.01,5,5,false,,INDIRANAGAR,A-840-LKO,27
HW-BRUSH-M-104,891100200104,Paint Brush 50 mm,Paint & Adhesives,piece,84.84,103.51,12,0,false,,INDIRANAGAR,A-840-LKO,34
HW-BRUSH-L-105,891100200105,Paint Brush 100 mm - 6 pack,Paint & Adhesives,pack,205.47,257.86,19,11,false,,INDIRANAGAR,A-840-LKO,41
HW-ROLLER-S-106,891100200106,Paint Roller 100 mm,Paint & Adhesives,piece,84.67,109.23,26,14,false,,INDIRANAGAR,A-840-LKO,9
HW-ROLLER-M-107,891100200107,Paint Roller 225 mm,Paint & Adhesives,piece,166.63,220.79,33,17,false,,INDIRANAGAR,A-840-LKO,16
HW-ROLLER-L-108,891100200108,Paint Roller 225 mm 5-piece kit,Paint & Adhesives,kit,341.25,464.10,40,2,false,,INDIRANAGAR,A-840-LKO,23
HW-SEAL-S-109,891100200109,Silicone Sealant 100 ml clear,Paint & Adhesives,tube,107.53,150.01,47,5,false,,INDIRANAGAR,A-840-LKO,30
HW-SEAL-M-110,891100200110,Silicone Sealant 280 ml white,Paint & Adhesives,cartridge,212.11,303.31,0,8,false,,INDIRANAGAR,A-840-LKO,37
HW-SEAL-L-111,891100200111,Silicone Sealant 280 ml assorted 12-pack,Paint & Adhesives,box,513.66,752.52,13,11,false,,INDIRANAGAR,A-840-LKO,44
HW-EPOXY-S-112,891100200112,Two-Part Epoxy Adhesive 25 g,Paint & Adhesives,pack,76.61,93.46,20,14,false,,INDIRANAGAR,A-840-LKO,12
HW-EPOXY-M-113,891100200113,Two-Part Epoxy Adhesive 100 g,Paint & Adhesives,pack,150.76,189.21,27,17,false,,INDIRANAGAR,A-840-LKO,19
HW-EPOXY-L-114,,Two-Part Epoxy Adhesive 1 kg industrial kit,Paint & Adhesives,kit,308.75,398.29,34,2,false,,INDIRANAGAR,A-840-LKO,26
HW-GLOVE-S-115,891100200115,Work Gloves cotton grip,Safety Equipment,pair,63.04,83.52,41,5,false,,INDIRANAGAR,A-840-LKO,0
HW-GLOVE-M-116,891100200116,Work Gloves nitrile-coated,Safety Equipment,pair,124.34,169.10,48,8,false,,INDIRANAGAR,A-840-LKO,40
HW-GLOVE-L-117,891100200117,Work Gloves cut-resistant level 5,Safety Equipment,pair,301.11,420.05,7,0,false,,INDIRANAGAR,A-840-LKO,8
HW-GLASS-S-118,891100200118,Safety Glasses clear lens,Safety Equipment,piece,96.77,138.38,14,14,false,,INDIRANAGAR,A-840-LKO,15
HW-GLASS-M-119,891100200119,Safety Glasses smoke lens,Safety Equipment,piece,190.44,278.99,21,17,false,,INDIRANAGAR,A-840-LKO,22
HW-GLASS-L-120,891100200120,Safety Glasses anti-fog 10-pack,Safety Equipment,box,390.00,475.80,28,2,false,,INDIRANAGAR,A-840-LKO,29
